timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1541167905744,1810,Facebook,200,OK,MEAN 1-1,text,true,,514396,120,1,1,https://www.facebook.com/,965,0,547
1541167907564,1427,Facebook,200,OK,MEAN 1-1,text,true,,514413,120,1,1,https://www.facebook.com/,566,0,107
1541167908993,1341,Facebook,200,OK,MEAN 1-1,text,true,,514290,120,1,1,https://www.facebook.com/,468,0,121
1541167910338,1307,Facebook,200,OK,MEAN 1-1,text,true,,514024,120,1,1,https://www.facebook.com/,455,0,127
1541167911646,1343,Facebook,200,OK,MEAN 1-1,text,true,,514376,120,1,1,https://www.facebook.com/,479,0,128
1541167912991,1463,Facebook,200,OK,MEAN 1-1,text,true,,514807,120,1,1,https://www.facebook.com/,567,0,117
1541167914456,1314,Facebook,200,OK,MEAN 1-1,text,true,,514366,120,1,1,https://www.facebook.com/,433,0,117
1541167915771,1311,Facebook,200,OK,MEAN 1-1,text,true,,514490,120,1,1,https://www.facebook.com/,446,0,113
1541167917084,1437,Facebook,200,OK,MEAN 1-1,text,true,,514388,120,1,1,https://www.facebook.com/,570,0,124
1541167918523,1532,Facebook,200,OK,MEAN 1-1,text,true,,513918,120,1,1,https://www.facebook.com/,664,0,206
1541167920056,1338,Facebook,200,OK,MEAN 1-1,text,true,,514678,120,1,1,https://www.facebook.com/,464,0,125
1541167921394,1337,Facebook,200,OK,MEAN 1-1,text,true,,514112,120,1,1,https://www.facebook.com/,459,0,98
1541167922732,1412,Facebook,200,OK,MEAN 1-1,text,true,,514422,120,1,1,https://www.facebook.com/,559,0,133
1541167924145,1343,Facebook,200,OK,MEAN 1-1,text,true,,514123,120,1,1,https://www.facebook.com/,471,0,128
1541167925489,1312,Facebook,200,OK,MEAN 1-1,text,true,,514057,120,1,1,https://www.facebook.com/,459,0,107
1541167926803,1340,Facebook,200,OK,MEAN 1-1,text,true,,514492,120,1,1,https://www.facebook.com/,477,0,126
1541167928145,1404,Facebook,200,OK,MEAN 1-1,text,true,,513920,120,1,1,https://www.facebook.com/,463,0,129
1541167929551,1469,Facebook,200,OK,MEAN 1-1,text,true,,514371,120,1,1,https://www.facebook.com/,596,0,112
1541167931021,1183,Facebook,200,OK,MEAN 1-1,text,true,,514068,120,1,1,https://www.facebook.com/,308,0,128
1541167932205,1377,Facebook,200,OK,MEAN 1-1,text,true,,513706,120,1,1,https://www.facebook.com/,513,0,126
1541167933583,1428,Facebook,200,OK,MEAN 1-1,text,true,,514472,120,1,1,https://www.facebook.com/,557,0,127
1541167935011,1436,Facebook,200,OK,MEAN 1-1,text,true,,514035,120,1,1,https://www.facebook.com/,561,0,123
1541167936449,1317,Facebook,200,OK,MEAN 1-1,text,true,,514110,120,1,1,https://www.facebook.com/,455,0,169
1541167937768,1435,Facebook,200,OK,MEAN 1-1,text,true,,514325,120,1,1,https://www.facebook.com/,570,0,113
1541167939205,1334,Facebook,200,OK,MEAN 1-1,text,true,,514261,120,1,1,https://www.facebook.com/,465,0,124
1541167940540,1319,Facebook,200,OK,MEAN 1-1,text,true,,514488,120,1,1,https://www.facebook.com/,460,0,149
1541167941860,1342,Facebook,200,OK,MEAN 1-1,text,true,,514380,120,1,1,https://www.facebook.com/,471,0,126
1541167943203,1438,Facebook,200,OK,MEAN 1-1,text,true,,514354,120,1,1,https://www.facebook.com/,497,0,113
1541167944642,1246,Facebook,200,OK,MEAN 1-1,text,true,,514092,120,1,1,https://www.facebook.com/,353,0,113
1541167945891,1306,Facebook,200,OK,MEAN 1-1,text,true,,514020,120,1,1,https://www.facebook.com/,368,0,129
1541167947198,1582,Facebook,200,OK,MEAN 1-1,text,true,,512094,120,1,1,https://www.facebook.com/,457,0,117
1541167948782,1383,Facebook,200,OK,MEAN 1-1,text,true,,514000,120,1,1,https://www.facebook.com/,409,0,114
1541167950168,1337,Facebook,200,OK,MEAN 1-1,text,true,,513964,120,1,1,https://www.facebook.com/,459,0,130
1541167951510,1317,Facebook,200,OK,MEAN 1-1,text,true,,514350,120,1,1,https://www.facebook.com/,448,0,114
1541167952829,1334,Facebook,200,OK,MEAN 1-1,text,true,,513881,120,1,1,https://www.facebook.com/,460,0,116
1541167954164,1477,Facebook,200,OK,MEAN 1-1,text,true,,513957,120,1,1,https://www.facebook.com/,456,0,125
1541167955642,1278,Facebook,200,OK,MEAN 1-1,text,true,,514257,120,1,1,https://www.facebook.com/,412,0,119
1541167956921,1155,Facebook,200,OK,MEAN 1-1,text,true,,513754,120,1,1,https://www.facebook.com/,290,0,108
1541167958077,1873,Facebook,200,OK,MEAN 1-1,text,true,,514106,120,1,1,https://www.facebook.com/,742,0,246
1541167959952,1373,Facebook,200,OK,MEAN 1-1,text,true,,514865,120,1,1,https://www.facebook.com/,502,0,121
1541167961326,1437,Facebook,200,OK,MEAN 1-1,text,true,,513961,120,1,1,https://www.facebook.com/,564,0,106
1541167962764,1320,Facebook,200,OK,MEAN 1-1,text,true,,514346,120,1,1,https://www.facebook.com/,456,0,120
1541167964085,1543,Facebook,200,OK,MEAN 1-1,text,true,,513903,120,1,1,https://www.facebook.com/,673,0,213
1541167965628,1323,Facebook,200,OK,MEAN 1-1,text,true,,514090,120,1,1,https://www.facebook.com/,461,0,110
1541167966952,1438,Facebook,200,OK,MEAN 1-1,text,true,,513957,120,1,1,https://www.facebook.com/,571,0,185
1541167968392,1338,Facebook,200,OK,MEAN 1-1,text,true,,514459,120,1,1,https://www.facebook.com/,462,0,126
1541167969731,1312,Facebook,200,OK,MEAN 1-1,text,true,,514299,120,1,1,https://www.facebook.com/,451,0,123
1541167971044,1342,Facebook,200,OK,MEAN 1-1,text,true,,514498,120,1,1,https://www.facebook.com/,472,0,114
1541167972388,1189,Facebook,200,OK,MEAN 1-1,text,true,,513971,120,1,1,https://www.facebook.com/,311,0,124
